,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Totals,,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,32,16,16,0.5,-5.84,-2.39,,8,8,,10,5,,5,10,,70.6,70.3,,40.3,25.6,57.7,0.444,4.56,15.1,0.302,14.9,20.8,0.715,11.1,33.8,13.2,10.3,2.94,14.9,20.9
2,Air Force,32,4,28,0.125,-8.07,3.65,,1,19,,3,13,,0,14,,61.9,73.7,,40.3,21.3,50.5,0.421,8.09,24.5,0.331,11.3,17.9,0.635,7.38,29.9,13.4,5.66,2.84,13.5,17.8
3,Akron ,35,28,7,0.8,3.22,-3.75,,17,1,,16,0,,8,4,,84,75.1,,40.1,30.3,64.6,0.469,10.7,29.7,0.362,12.7,16.9,0.754,11.8,38.5,17.7,7.63,3.74,11.8,17.8
4,Alabama ,37,28,9,0.757,25.54,16.14,,13,5,,12,3,,9,3,,90.7,81.3,,40.3,31,64.1,0.484,10.5,29.8,0.353,18.1,25.2,0.72,12.4,42.4,17.2,6.16,4.51,12.7,18.9
5,Alabama A&M,32,10,22,0.313,-20.52,-9.93,,6,12,,8,9,,2,12,,73,78.8,,40.6,24.8,61.4,0.404,8.03,25.2,0.318,15.3,23.1,0.664,14,36.6,13.5,8.31,4.09,16,21.5
6,Alabama State ,36,20,16,0.556,-8.99,-8.19,,12,6,,8,3,,6,10,,73.1,72.4,,40.1,25.8,63.6,0.405,8.89,27.2,0.327,12.7,18.5,0.686,11.6,36.2,11.6,7.92,2.81,9.08,18.4
7,Albany (NY),33,17,16,0.515,-9.75,-8.55,,8,8,,7,7,,8,8,,74.6,73.8,,40.5,27.3,61.9,0.441,7.21,22.3,0.323,12.8,17.9,0.716,11.9,33.8,12.5,8.27,2.33,10.8,17.4
8,Alcorn State,32,11,21,0.344,-14.06,-6.96,,11,7,,6,3,,5,17,,65,72.1,,40.2,23.6,57.3,0.411,5.34,16.8,0.318,12.6,17.5,0.717,11.8,34,10.3,6.59,2.69,13.1,17
9,American ,35,22,13,0.629,-7.64,-6.85,,13,5,,14,2,,5,10,,68.7,67.7,,40.6,24,54.1,0.444,8.54,24.5,0.348,12.2,16.2,0.754,7.71,30.2,12.6,6.54,1.89,11.1,17.9
10,Appalachian State,31,17,14,0.548,-2.59,-3.83,,10,8,,10,4,,5,8,,67.8,63.5,,40.2,23.8,54.6,0.436,7.74,22.5,0.344,12.5,19.1,0.651,9.81,36.9,12.5,5.52,3.68,10.8,13.4
11,Arizona ,37,24,13,0.649,22.94,13.72,,14,6,,13,3,,6,5,,82.5,73.3,,40.3,29.1,61.3,0.474,7.19,21.3,0.338,17.1,22,0.78,12.3,39.7,16.2,7.54,4.38,11.4,16.9
12,Arizona State,33,13,20,0.394,10.62,13.32,,4,16,,5,9,,3,8,,74.1,76.8,,40.5,25.2,57.3,0.439,8.7,24.4,0.356,15.1,20.8,0.726,8.76,34,12.8,5.27,4.42,12.5,17
13,Arkansas ,36,22,14,0.611,17.09,11.7,,8,10,,14,4,,4,6,,76.8,71.4,,40.3,27.2,58.8,0.462,7.03,21.5,0.327,15.4,20.9,0.739,9.53,35.6,14.2,7.53,5.61,11.5,16.2
14,Arkansas State,36,25,11,0.694,5.81,-2.4,,13,5,,14,2,,8,6,,79.4,70.2,,40.3,27.4,64.3,0.426,9.42,29,0.325,15.2,20.9,0.727,13.4,40.7,14.3,7.33,4.44,10.4,18.3
15,Arkansas-Pine Bluff,31,6,25,0.194,-24.34,-8.44,,3,15,,4,8,,2,17,,72.3,83.9,,40,26.9,59.3,0.454,7.26,22.5,0.323,11.3,19,0.593,9.87,34,14.6,7.1,2.13,14.5,19
16,Army,33,17,16,0.515,-12.11,-7.3,,10,8,,12,4,,4,11,,73.2,74.9,,40.9,27,61.9,0.437,8.36,26.4,0.317,10.8,15.8,0.681,10.2,35,14.1,6.7,2.18,10,15.6
17,Auburn ,38,32,6,0.842,28.68,15.13,,15,3,,13,2,,8,2,,83,69.4,,40.1,29.4,61.7,0.476,9.03,25.2,0.359,15.2,20.9,0.727,11.8,37.4,16.1,6.87,5.89,9.45,18.5
18,Austin Peay,33,14,19,0.424,-9.57,-3.86,,8,10,,8,5,,4,13,,71.6,74.9,,40.5,25.3,60,0.422,8.48,24.5,0.346,12.4,17.3,0.719,9.88,32.9,12.6,6.94,2.64,9.91,17.8
19,Ball State,31,14,17,0.452,-7.95,-6.49,,7,11,,8,7,,4,9,,75.4,74.2,,40.3,25.2,55.4,0.455,7.13,20.7,0.345,17.8,25.3,0.704,9.42,35.5,13.1,4.97,2.16,11.7,16.4
20,Baylor ,35,20,15,0.571,18.77,13.86,,10,10,,13,3,,3,9,,76.1,69.8,,40.7,27,60.7,0.445,8.4,24.2,0.348,13.7,18.3,0.747,13,35.9,14.4,7.54,2.8,10.8,16.3
21,Bellarmine,31,5,26,0.161,-15.26,-4.88,,2,16,,5,10,,0,16,,72.6,80.1,,40.3,26.3,56.2,0.467,9.06,25,0.362,11.1,14.3,0.773,6.61,29.3,14.2,6.35,1.71,12,16.8
22,Belmont,33,22,11,0.667,1.94,-0.12,,13,7,,11,5,,9,4,,79.3,76.6,,40.2,28.6,61.6,0.465,10.5,27.4,0.383,11.5,16.1,0.719,9.61,34.6,17.2,6.94,3.15,11.2,15.6
23,Bethune-Cookman,33,17,16,0.515,-10.22,-6.7,,13,5,,8,2,,7,12,,68.6,72.2,,40,24.2,56.7,0.428,6.12,19.2,0.319,14,20.3,0.69,10.1,35.6,12.8,6.67,3.67,13.6,16.1
24,Binghamton,32,15,17,0.469,-13.5,-9.12,,7,9,,9,4,,5,12,,69.8,71.5,,40.5,25,54.2,0.461,7.09,19.8,0.359,12.6,18.2,0.693,8.88,35.9,13,4.78,3,13.5,16.4
25,Boise State,37,26,11,0.703,13.86,5.75,,14,6,,13,2,,6,5,,75.8,66.9,,40.1,25.9,56,0.463,7.49,23.6,0.317,16.5,21.1,0.78,10.5,36.1,14.5,5.68,2.62,10.9,16
26,Boston College,31,12,19,0.387,-0.25,5.14,,4,16,,9,8,,0,10,,70.4,75.8,,41.1,25.3,58.4,0.432,6.65,19.3,0.345,13.2,18.4,0.719,10.3,34.4,11.5,5.23,3.9,11.9,18.4
27,Boston University,32,16,16,0.5,-11,-8.39,,10,8,,12,4,,3,12,,67.1,68.5,,40.6,24,54.8,0.438,7.81,23.1,0.338,11.3,17.1,0.663,10.9,35.1,11.9,6.06,2.59,13.2,16.1
28,Bowling Green State,32,14,18,0.438,-9.53,-6.1,,8,10,,8,8,,5,8,,73.5,73.9,,40,25.5,58,0.439,7.97,23.3,0.342,14.6,19.6,0.746,9.28,34.4,11.2,7.25,3.19,12.3,17.4
29,Bradley,37,28,9,0.757,6.4,0.24,,15,5,,14,4,,9,3,,76.3,68.5,,40.5,26.8,55.6,0.483,9.54,24,0.398,13.1,17.5,0.747,8.24,34.4,14.4,6.51,3.86,11.5,16.7
30,Brigham Young ,36,26,10,0.722,19.07,10.21,,14,6,,15,2,,6,5,,81.4,72.6,,40.7,28.9,60,0.482,10.5,28.6,0.368,13,18.3,0.713,11.3,37.6,17.3,7.14,3.14,12.1,16.3
31,Brown,27,14,13,0.519,-5.21,-4.28,,6,8,,8,6,,6,7,,72.2,71.6,,40.6,26.8,59.7,0.448,8.19,24.4,0.335,10.5,16.6,0.632,11,36.3,14.7,5.93,5.26,11.6,15.7
32,Bryant ,35,23,12,0.657,-1.99,-6.93,,14,2,,12,3,,10,7,,81.8,74.2,,40.1,30.1,65.8,0.457,7.74,23.3,0.333,13.8,19.3,0.714,13.3,41.1,14.9,6.66,6,11.9,15.7
33,Bucknell,33,18,15,0.545,-5.35,-6.23,,13,5,,12,4,,6,10,,74,73.2,,41.8,26.1,56.1,0.466,8.12,23,0.353,13.7,20.6,0.664,8.52,33.8,13.6,6.64,3.21,13.1,17.8
34,Buffalo,31,9,22,0.29,-15.16,-3.92,,4,14,,6,9,,3,13,,71.8,80.9,,40,25,58.7,0.426,7.84,25.8,0.304,13.9,19.9,0.7,9.23,34.5,13.5,6.74,3.52,14.5,16.7
35,Butler,35,15,20,0.429,10.03,10.14,,6,14,,9,8,,2,9,,74.7,74.9,,40.1,25.5,55.5,0.46,8.54,23.1,0.37,15.1,20.4,0.74,8.46,34.9,13.9,4,2.69,11,13.6
36,Cal Poly,35,16,19,0.457,-2.47,-0.68,,8,12,,9,5,,5,13,,82.1,82.9,,40.6,28.9,62.5,0.462,11.5,31.8,0.362,12.8,16.7,0.766,10.1,34.9,15.3,7.86,2.14,15.7,18
37,Cal State Bakersfield,33,14,19,0.424,-5.93,-2.26,,8,12,,9,6,,4,11,,73.8,73.6,,40.3,25.8,58.9,0.438,6.61,17.4,0.38,15.6,20.2,0.772,12.8,35.5,10.1,6.82,2.79,12.6,20.3
38,Cal State Fullerton,32,6,26,0.188,-15.96,0.37,,1,19,,4,11,,2,15,,63.3,77.3,,40,21.3,53.2,0.402,4.88,18,0.271,15.7,21.2,0.742,9.47,33.3,9,5.31,1.94,14.8,17.8
39,Cal State Northridge,33,22,11,0.667,1.83,-3.36,,14,6,,10,3,,10,7,,80.3,72.9,,40.2,28.8,61.7,0.468,6.64,19.2,0.345,16,22,0.725,12.8,40.1,16.3,7.58,2.88,13.7,20.6
40,California,33,14,19,0.424,5.48,6.69,,6,14,,11,6,,2,11,,75.6,76.8,,41.2,25.4,60.7,0.419,7.21,22.9,0.315,17.6,23.6,0.746,13.4,37.5,10.5,6.3,3.7,11.6,16.5
41,California Baptist,32,17,15,0.531,-1.13,-2.35,,9,7,,11,5,,4,8,,71.3,70,,40.5,25.6,59.8,0.427,6.66,21,0.317,13.5,17.8,0.757,12,36,11.7,6.63,2.69,12.1,17.2
42,Campbell,32,15,17,0.469,-5.39,-4.96,,10,8,,8,6,,7,10,,70.2,67.8,,40.2,24.8,56.4,0.439,7.5,23.3,0.322,13.2,17.1,0.771,8.25,31.8,13.4,6.88,3.06,10.5,16.1
43,Canisius,31,3,28,0.097,-19.26,-5.42,,3,17,,1,12,,2,15,,64.8,78.6,,40,23.5,54,0.436,8.19,22.3,0.367,9.55,12.6,0.759,5.81,25.9,11.2,6.16,2.42,12.3,16
44,Central Arkansas,33,9,24,0.273,-15.16,-4.29,,4,14,,7,7,,1,17,,70.2,78.1,,40.9,24.8,60.5,0.41,8.58,29.2,0.294,12.2,16.9,0.719,11.2,35.8,13.7,7.33,2.36,12.4,13.6
45,Central Connecticut State,32,25,7,0.781,-4.47,-11.21,,14,2,,13,3,,12,3,,72.3,62.9,,40.2,27.2,57.1,0.476,7.06,20.4,0.346,10.8,14.6,0.742,8.53,35.5,14.3,7.56,4.19,11.3,11.3
46,Central Michigan,31,14,17,0.452,-4.51,-2.8,,7,11,,8,6,,6,10,,75.5,72.2,,40.3,26.9,58.3,0.462,6.39,19.7,0.325,15.3,21.1,0.722,10.7,36.1,13.5,7.35,2.9,12.3,16.5
47,Charleston Southern,32,10,22,0.313,-11.12,-2.45,,6,10,,7,5,,3,14,,72.1,78.2,,40.5,24,56.5,0.425,7.28,24,0.304,16.8,25.3,0.662,11.8,37.1,11.5,4.72,2.75,13.5,17.4
48,Charlotte,33,11,22,0.333,-5.45,-0.63,,3,15,,8,8,,1,12,,70.5,74.5,,40.8,23.1,54.8,0.421,7,22.6,0.31,17.4,23.3,0.749,8.82,31.4,12.3,5.09,2.18,9.97,17.4
49,Chattanooga,38,29,9,0.763,2.37,-2.94,,15,3,,14,3,,12,5,,79.7,72.9,,40.9,28.2,58.9,0.479,9.79,27.1,0.362,13.5,17.6,0.767,8.26,33.3,17.1,6.84,2.82,10,16.2
50,Chicago State,32,4,28,0.125,-21.12,-4.97,,4,12,,3,7,,1,19,,62.5,78.7,,40.3,22.2,58.1,0.382,7.25,23.7,0.306,11,15.6,0.705,8.53,30.7,10.8,7.34,3.56,12.9,19
51,Cincinnati,35,19,16,0.543,14.23,9.28,,7,13,,12,5,,4,9,,71.2,66.2,,40,27.2,60.6,0.449,7.51,23.2,0.324,9.31,14,0.665,11.3,34.8,13.9,7.57,4.14,10.3,14.2
52,Clemson ,34,27,7,0.794,17.81,7.51,,18,2,,15,2,,9,3,,76.1,65.8,,40.9,27.4,59.2,0.462,8.47,23,0.369,12.9,16.8,0.768,11.3,35.4,14.2,7.41,3.5,10.5,15.2
53,Cleveland State,36,23,13,0.639,-1.55,-3.85,,14,6,,14,4,,7,7,,73.1,66.5,,40.1,26.8,59.3,0.452,6.42,19.2,0.334,13.1,17.9,0.73,12.1,34.1,13.6,8.64,4.61,11.6,17.8
54,Coastal Carolina,32,10,22,0.313,-12.13,-5.93,,3,15,,6,8,,3,13,,66.8,71.1,,40.2,23.1,54,0.428,7.47,21.5,0.347,13,18.6,0.702,10,36.6,11.5,3.28,1.66,11.9,17.7
55,Colgate,33,14,19,0.424,-7.71,-6.4,,10,8,,10,4,,4,13,,72.1,72.4,,40.3,26.9,57.5,0.468,8.7,24.4,0.356,9.58,13.1,0.73,7.76,32.3,14.2,6.39,2.42,11.3,14.9
56,College of Charleston,33,24,9,0.727,-0.6,-3.38,,13,5,,13,2,,7,5,,77.2,73.8,,40.6,27,59.5,0.455,8.36,23.7,0.353,14.8,20.7,0.716,9.3,36,15.9,6.48,2.3,11.4,15.5
57,Colorado,35,14,21,0.4,9.62,11.74,,3,17,,11,7,,0,10,,69.7,71.9,,40.3,24.3,54.6,0.444,6.54,20.4,0.321,14.7,19.6,0.75,9.54,35.1,14.2,6.97,3.86,14.4,16.5
58,Colorado State ,36,26,10,0.722,13.94,6.05,,16,4,,14,2,,7,4,,75.2,67.3,,40.4,26.5,55.4,0.477,8.61,23.8,0.363,13.6,17.5,0.775,8.39,34.9,16.5,5.14,2.75,11.5,17.2
59,Columbia,27,12,15,0.444,-9.18,-5.7,,1,13,,9,6,,3,9,,78.4,78.1,,40,28.6,61.3,0.466,8.22,24.4,0.337,13.1,17.8,0.735,9.59,34.8,17.4,7.78,2.11,10.9,15.4
60,Connecticut ,35,24,11,0.686,17.87,8.87,,14,6,,14,2,,7,4,,77,68,,40.6,27.3,57.4,0.475,8.54,24.5,0.348,14,17.7,0.791,11.2,35.7,17.3,5.43,6.2,11.1,18.3
61,Coppin State,30,6,24,0.2,-21.26,-5.71,,4,10,,5,6,,1,17,,62.2,76.4,,40.2,21.8,54.8,0.397,5.17,17.6,0.294,13.5,19.9,0.681,9.67,30.6,11.2,8.13,1.9,14.9,17.3
62,Cornell,29,18,11,0.621,0.91,-3.76,,9,5,,9,5,,8,5,,85.1,77.5,,40,30.6,61,0.501,11.2,29.8,0.376,12.8,16.9,0.755,8.9,35,19.1,6.31,3.24,12,16.3
63,Creighton ,36,25,11,0.694,16.49,11.04,,15,5,,15,2,,6,5,,75.5,70,,40.3,27.1,56.7,0.477,9.56,27.7,0.345,11.8,16.2,0.728,8.42,37.4,17.1,3.61,4.47,12.2,11.1
64,Dartmouth,28,14,14,0.5,-4.74,-5.43,,8,6,,9,4,,5,9,,77.4,71.9,,40.2,26.7,61.1,0.437,10.1,28.8,0.352,13.8,18.6,0.742,8.93,37.9,15.8,5.14,3.07,11.5,14.9
65,Davidson,33,17,16,0.515,1.02,0.46,,6,12,,11,6,,4,7,,72.5,70.7,,40,26,57.3,0.454,8.06,23.8,0.338,12.4,16.6,0.746,8.09,33.2,14.9,5.7,2.52,9.64,14.8
66,Dayton,34,23,11,0.676,8.14,4.05,,12,6,,16,2,,6,5,,75.4,70.8,,40.6,25.7,56.2,0.458,8.32,23.1,0.361,15.7,21.1,0.742,9.71,34.1,15.2,7.06,3.47,10.4,15.7
67,Delaware,36,16,20,0.444,-6.11,-4.14,,5,13,,8,7,,3,11,,77.2,77.9,,40,27.4,57.8,0.475,8.78,23.6,0.372,13.6,17.3,0.782,7.42,32,14.2,6.39,3,11.8,16.6
68,Delaware State,30,16,14,0.533,-12.24,-9.05,,8,6,,11,2,,3,11,,78.7,74.3,,40.3,29,63,0.461,5.17,14,0.369,15.4,21.3,0.723,13.3,37.4,14,8.63,2.6,12.6,18.2
69,Denver,32,11,21,0.344,-10.4,-3.02,,5,11,,8,6,,3,12,,72.4,77.6,,40.6,25.6,57,0.449,7.25,20.9,0.347,13.9,18.8,0.74,8.81,30.8,11.5,6.84,2.53,12.7,22.4
70,DePaul,34,14,20,0.412,5.3,7.33,,4,16,,11,8,,2,10,,72.4,74.5,,40.9,25.9,58.1,0.446,9.24,26.8,0.344,11.4,16.1,0.705,9.15,34.4,15.4,6.12,3.65,12.5,16.3
71,Detroit Mercy,32,8,24,0.25,-13.46,-3.11,,4,16,,6,7,,2,15,,67.1,75.9,,40.6,24.4,59.3,0.412,5.63,17.1,0.33,12.6,17.2,0.735,12,37.7,10.8,5.78,2.47,13,18.9
72,Drake ,35,31,4,0.886,9.6,1.27,,17,3,,14,2,,10,1,,69.8,58.9,,40.7,24.2,50.3,0.481,6.63,18.4,0.36,14.9,21.3,0.699,10.1,30.8,13.5,8.94,2.43,11.1,15.8
73,Drexel,33,18,15,0.545,-3.64,-5.61,,9,9,,8,6,,7,7,,70.4,66.9,,40.8,26.4,57.5,0.458,7.7,21.4,0.36,9.94,14.2,0.699,11,36.8,13,4.88,4.55,12.2,14.7
74,Duke ,39,35,4,0.897,30.72,10.26,,19,1,,17,0,,10,1,,83.2,62.8,,40,28.9,58.7,0.493,10.1,26.2,0.386,15.2,19.3,0.79,10.6,38.2,17,6.72,3.92,9.31,15.8
75,Duquesne,32,13,19,0.406,1.18,0.89,,8,10,,9,7,,2,8,,69.1,67.3,,40.3,24.8,57.4,0.433,8.38,24.6,0.341,11.1,17,0.651,11.7,34.1,13.8,7.09,4.25,12.1,17.6
76,East Carolina,33,19,14,0.576,-0.69,-0.82,,10,8,,12,6,,4,6,,75.8,73.8,,40.8,26.6,61.1,0.436,6.73,21.3,0.316,15.8,22,0.72,12.9,37.2,13.3,7.55,4.52,10.9,15.6
77,East Tennessee State,32,19,13,0.594,-1.07,-5.2,,12,6,,13,3,,6,9,,71.9,66.5,,40,25.5,58.8,0.434,8.47,24.3,0.348,12.5,18.9,0.661,12.6,37.1,13,8.03,3.78,10.8,16.3
78,East Texas A&M,31,5,26,0.161,-12.38,-1.86,,3,17,,4,10,,1,16,,64.4,74.9,,40.2,23,55.3,0.416,8.39,26.7,0.314,9.97,15.5,0.644,9.81,30.6,14.2,8.39,3.94,15.3,16.8
79,Eastern Illinois,31,12,19,0.387,-12.62,-5.91,,8,12,,7,7,,4,12,,66.5,69,,40.3,23.9,58.1,0.412,5.35,16.8,0.319,13.3,19.6,0.678,11.5,35.3,11.3,8.97,2.74,12.5,18.6
80,Eastern Kentucky,32,18,14,0.563,-3.86,-4.46,,12,6,,10,3,,7,9,,77.8,75.3,,40.6,27.6,65,0.424,9.56,27.6,0.346,13.1,17.5,0.75,13.5,37,13,8.63,3.5,9.84,16.7
81,Eastern Michigan,32,16,16,0.5,-9.21,-5.38,,9,9,,9,5,,6,10,,73.6,76.5,,40.3,26,56.6,0.46,7.53,21.6,0.349,14,19,0.737,10,32.6,12.5,6.97,3.41,13,18
82,Eastern Washington,32,10,22,0.313,-8.85,-2.11,,6,12,,8,6,,2,14,,71.3,75.5,,40,25.6,56,0.456,6.75,20.8,0.325,13.5,17.3,0.778,8.53,30.1,13.7,7.53,3.13,12.5,18.2
83,Elon,33,17,16,0.515,-4.32,-4.94,,8,10,,10,4,,6,9,,73.7,70.2,,40.2,24.9,56.3,0.442,7.85,23.8,0.33,16.1,21.5,0.749,12.6,39.8,12.2,5.15,4.15,12.5,13.5
84,Evansville,32,11,21,0.344,-6.02,0.34,,8,12,,7,9,,4,11,,66,70.7,,40,23.8,55,0.433,6.81,22.5,0.303,11.7,16.7,0.697,7.66,32.9,12.6,6,4.38,11.8,16.5
85,Fairfield,32,12,20,0.375,-14.52,-7.68,,8,12,,8,6,,3,12,,67.5,72.6,,40.2,24.5,60.2,0.407,7.19,22.8,0.316,11.3,15.6,0.726,11,32.9,12.6,6.81,3,10.3,16.3
86,FDU,33,13,20,0.394,-11.96,-8.06,,8,8,,9,5,,4,15,,73.7,73.2,,40.6,25.7,59,0.436,8.33,24.8,0.336,13.9,19.5,0.711,9.73,33.9,13.6,6.94,2.7,11.7,16.1
87,Florida ,40,36,4,0.9,27.78,12.6,,14,4,,15,1,,7,3,,84.8,69.6,,40,29.6,62.8,0.471,9.75,27.4,0.356,15.9,21.9,0.728,13.7,41.8,15.5,7.4,4.47,11.1,17.1
88,Florida A&M,31,14,17,0.452,-13.37,-6.03,,10,8,,9,3,,4,13,,72.1,75.3,,40.1,24.5,55.5,0.44,9,26,0.346,14.2,19.9,0.713,9.55,34.1,12.6,5.23,3.23,13.7,17.7
89,Florida Atlantic,34,18,16,0.529,3.72,1.96,,10,8,,8,6,,6,7,,78.7,75.6,,40.4,28.1,60.6,0.463,8.71,24.7,0.352,13.9,20,0.697,11.1,36.9,16.1,6.26,4.32,11.5,17.2
90,Florida Gulf Coast,34,19,15,0.559,-2.89,-4.92,,13,5,,11,5,,7,9,,72.2,69.7,,40,27.5,58.5,0.469,7.94,22.5,0.353,9.29,13.6,0.685,9.91,35.5,14,5.53,2.29,10.6,14.9
91,Florida International,33,10,23,0.303,-6.72,-1.66,,3,15,,7,8,,1,13,,69.2,72.1,,40.6,24.9,58.5,0.425,5.09,17.7,0.287,14.4,20.4,0.707,11.5,35.1,12.2,9,4.64,13.7,17
92,Florida State,32,17,15,0.531,8.43,6.43,,8,12,,11,5,,2,9,,74.5,72.5,,40.2,26.1,57.4,0.454,6.13,19.3,0.317,16.2,22.6,0.717,10.2,34.6,13,7.59,4.75,12.3,19.1
93,Fordham,33,12,21,0.364,-4.44,0.59,,3,15,,8,8,,2,10,,74.3,78,,40.5,25.8,60.8,0.423,8.24,25.3,0.325,14.5,20.2,0.719,12.1,36.3,13.7,7.58,3.48,13.2,18.7
94,Fresno State,32,6,26,0.188,-5.6,4.4,,2,18,,5,9,,1,14,,70.7,80.7,,41.1,24.4,60.2,0.406,6.66,21.3,0.313,15.2,21.9,0.692,10.6,34.8,10.8,7.56,3.22,12.9,15.4
95,Furman,35,25,10,0.714,-0.15,-3.27,,11,7,,13,3,,9,6,,77.2,69.8,,40.4,26.5,57.8,0.458,10.9,29.6,0.366,13.4,19.5,0.687,10.5,36.3,16.9,6.54,3.26,11.2,14.9
96,Gardner-Webb,31,11,20,0.355,-8.21,-3.86,,5,11,,5,6,,3,13,,73.8,78.1,,40,26.6,57.3,0.464,6.26,19,0.33,14.4,20.7,0.692,11.5,36.4,10.5,5.19,3.26,14.6,18.8
97,George Mason,36,27,9,0.75,7.2,0.83,,15,3,,18,2,,7,6,,71.2,63.8,,40.8,24.1,53,0.455,6.94,19.6,0.355,16,22.4,0.714,10.1,36.4,12.7,7.56,3.28,12.9,16.5
98,George Washington,34,21,13,0.618,2,-1.7,,9,9,,13,4,,5,6,,73.2,68.4,,40.4,25,56.1,0.446,7.44,23.5,0.317,15.7,22.6,0.694,10.8,35,13.9,8.88,3.06,12.6,15
99,Georgetown,34,18,16,0.529,8.18,5.77,,8,12,,14,5,,3,9,,72,69.6,,40,26.8,60.6,0.442,7.47,23.1,0.323,10.9,15.5,0.704,11.3,35.2,14.1,7.88,3.68,11.6,15.6
100,Georgia ,33,20,13,0.606,16.36,10.94,,8,10,,15,3,,3,7,,75.3,69.9,,40,26.1,56.7,0.46,6.91,21,0.329,16.3,22.7,0.717,11.8,36.5,12.5,7.76,5.12,12.9,16.6
101,Georgia Southern,33,17,16,0.515,-7.53,-5.47,,8,10,,11,3,,4,11,,74.2,75.9,,40.6,26.9,62.5,0.43,9.48,27.6,0.343,11,16.7,0.658,12.8,37.4,13.6,7.88,3.73,13.5,19.6
102,Georgia State,33,14,19,0.424,-7.51,-3.01,,8,10,,9,6,,3,11,,75.1,78.3,,40.2,27.2,60.5,0.449,7.06,20.5,0.345,13.6,19.9,0.686,11.9,38,12.2,5.24,2.94,11.8,15.8
103,Georgia Tech,34,17,17,0.5,6.3,5.89,,10,10,,14,6,,2,9,,73.1,72.7,,40.6,26.4,60.1,0.439,7.59,22.1,0.343,12.7,18.4,0.687,10.9,37.1,14.8,5.91,3.71,12.2,15.8
104,Gonzaga ,35,26,9,0.743,23.75,7.27,,14,4,,13,2,,8,2,,86.4,69.9,,40.4,31.7,63.2,0.501,7.51,21.2,0.354,15.6,19.4,0.804,11,38.3,19.7,7.46,2.97,9.54,16.8
105,Grambling,34,12,22,0.353,-12.44,-7.57,,7,11,,6,7,,4,12,,66.8,67.7,,40.3,23.5,54.8,0.429,6.44,19.1,0.338,13.3,18.2,0.729,8.82,33.7,11.4,6.68,3.71,12.7,16.4
106,Grand Canyon ,34,26,8,0.765,4.97,-2.63,,13,3,,16,1,,5,4,,78.3,69.5,,40.1,26.6,58.5,0.456,6.21,19.9,0.312,18.8,25.7,0.731,11.2,37.2,13.8,9.18,5.15,13.2,17.5
107,Green Bay,32,4,28,0.125,-13.21,-2.53,,2,18,,3,11,,1,17,,69.9,80.3,,40.2,23.2,53.6,0.432,8.09,24.6,0.329,15.4,19.7,0.784,6.16,29.9,14,4.91,2,12.5,18.2
108,Hampton,33,17,16,0.515,-5.21,-4.01,,8,10,,10,4,,4,9,,72.5,70,,40.2,25.9,60.9,0.426,7.48,22.5,0.333,13,18.3,0.712,13.2,36.2,11.8,7.52,3.03,10.8,18.2
109,Harvard,27,12,15,0.444,-7.89,-3.92,,7,7,,7,5,,5,10,,68.4,72,,40.2,25.1,56.7,0.443,7.3,22.6,0.322,10.9,14.1,0.767,8.3,31.6,13.7,7.37,2.85,11.9,14.2
110,Hawaii,31,15,16,0.484,-3.57,-1.02,,7,13,,13,7,,2,9,,70.1,71.2,,40.3,24,53.5,0.449,6.55,20.5,0.32,15.5,21,0.738,9.94,35.6,11.9,3.55,2.35,13.5,17.7
111,High Point ,35,29,6,0.829,5.3,-5.19,,14,2,,16,1,,7,3,,81.7,68.9,,40.1,28.6,58,0.492,8.29,22.8,0.363,16.2,21.3,0.761,11.1,36.1,13,6.11,2.86,10.4,18.1
112,Hofstra,33,15,18,0.455,-4.97,-3.88,,6,12,,6,7,,5,9,,66.7,64.9,,40.6,24.1,56.4,0.427,8.27,24.3,0.34,10.3,14.5,0.715,8.79,35.5,13.5,5.94,3.94,11.2,17.6
113,Holy Cross,32,13,19,0.406,-12.54,-7.37,,5,13,,7,6,,4,13,,69.6,72.1,,40.3,25.8,56.4,0.456,9.13,23.6,0.387,8.97,12.4,0.721,7.47,32.6,12.4,4.63,2.88,11.9,13.8
114,Houston ,40,35,5,0.875,28.45,13.45,,19,1,,16,1,,10,0,,73.7,58.6,,40.6,26.8,59.6,0.449,8.15,20.7,0.394,12,16.2,0.74,12.8,36.9,12.1,7.75,4.6,9,16.3
115,Houston Christian,32,12,20,0.375,-8.17,-2.97,,9,11,,8,7,,4,12,,66,69.4,,40,23.2,54.8,0.423,7.84,24,0.326,11.8,17.1,0.687,9.25,31.3,10.9,7.88,3.59,11.7,13.6
116,Howard,32,12,20,0.375,-12.02,-6.88,,7,7,,8,6,,3,11,,77.5,79.3,,40.3,26.7,57.4,0.465,8.53,22.9,0.372,15.6,21.1,0.739,10,34.1,15.8,5.63,3.03,14.9,19.1
117,Idaho,33,14,19,0.424,-8,-3.49,,8,10,,8,6,,5,11,,73.6,75.5,,40.2,24.9,56.7,0.44,9.33,26.8,0.348,14.4,19.2,0.751,10.2,33.7,12.3,5.88,2.82,11.8,17.8
