,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Totals,,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
240,Prairie View,32,5,27,0.156,-19.3,-7.3,,4,14,,3,7,,2,19,,71.4,82.4,,40,25.6,58.9,0.435,6.31,19.8,0.319,13.9,20.1,0.691,8.84,27.9,12.2,8.09,3.19,11.9,18.9
241,Presbyterian,33,14,19,0.424,-6.68,-4.35,,7,9,,8,5,,4,12,,74.2,70.9,,40.5,27.1,57.9,0.468,7.24,19.7,0.368,12.8,18.3,0.698,10,33.4,13,6.79,3.21,10.6,18
242,Princeton,30,19,11,0.633,-2.85,-2.49,,8,6,,9,4,,7,4,,73.6,72.1,,40,26.4,60.8,0.434,10.5,29.6,0.355,10.4,14.6,0.71,9.7,33.8,15.2,7.37,2.17,10.4,15.5
243,Providence,32,12,20,0.375,7.17,8.33,,6,14,,10,6,,2,9,,71.3,72.5,,40.2,25.2,57.3,0.44,9.28,26.1,0.356,11.6,16.9,0.686,11.3,37.1,12.9,4.97,3.41,12.7,17.2
244,Purdue ,36,24,12,0.667,20.8,13.91,,13,7,,14,2,,5,6,,77.3,70.4,,40,27.4,56.3,0.486,8.25,21.6,0.382,14.3,19.5,0.732,9.78,32.9,15.9,6.39,1.64,10.4,15.8
245,Purdue Fort Wayne,32,19,13,0.594,-1,-4.06,,12,8,,12,2,,6,10,,80.7,74.6,,40.5,28.7,61.1,0.47,10.3,27.8,0.371,13,17.4,0.75,7.59,30.3,13.6,8.69,2.78,9.56,15.7
246,Queens (NC),35,20,15,0.571,-5.41,-4.95,,11,7,,9,5,,9,9,,76.7,74.6,,40.4,26.7,59.3,0.45,9.2,26.3,0.35,14.1,20.6,0.686,11.4,36.8,16,6.51,5.26,12.6,16.5
247,Quinnipiac,33,20,13,0.606,-5.94,-7.72,,15,5,,12,2,,7,10,,73.9,71.5,,40.2,26.2,61.4,0.426,6.88,23.2,0.296,14.7,19.2,0.763,11.8,38.3,13.8,8.24,4.67,12.9,16.3
248,Radford,33,20,13,0.606,-2.72,-3.43,,9,7,,10,3,,7,9,,74,70.1,,40.3,25,54.9,0.454,7.33,20.1,0.364,16.7,21.9,0.763,11.4,35.4,11.3,5.55,3.12,11.3,17.1
249,Rhode Island,31,18,13,0.581,1.06,-0.91,,7,11,,14,3,,1,9,,78,75.1,,40.5,26.7,57.5,0.465,7.61,21.7,0.351,17,24.5,0.694,10,37.4,13.9,5.94,3.35,12.9,16.4
250,Rice,32,13,19,0.406,-2.08,-2.12,,4,14,,7,8,,4,8,,70.3,70.3,,40.3,23.4,55.6,0.421,7.09,21.5,0.33,16.4,24.1,0.681,12.3,38.2,11.8,4.66,3.09,11.8,17.8
251,Richmond,32,10,22,0.313,-5.48,1.45,,5,13,,6,9,,2,11,,66.8,71.9,,40.9,22.8,54.5,0.418,7.81,24.9,0.314,13.4,16.9,0.792,6.5,31.1,11.7,5.97,2.06,10.2,17.5
252,Rider,33,14,19,0.424,-12.06,-7.24,,9,11,,5,7,,8,11,,67,71.8,,40,24.7,57.4,0.43,5.39,17.3,0.312,12.3,17,0.722,11.2,34.3,12.6,5.36,3.09,11.2,14.4
253,Robert Morris ,35,26,9,0.743,0.4,-4.92,,15,5,,16,2,,8,6,,77,71,,40.7,26.7,59.4,0.449,7.54,21.7,0.347,16.1,22.3,0.721,12.5,37.4,16.1,6.4,4.54,12.9,16.7
254,Rutgers,32,15,17,0.469,10.41,10.94,,8,12,,11,5,,3,8,,77,77.6,,40.8,27,60.6,0.446,7.22,22,0.329,15.8,21.9,0.718,11.2,35.3,12.9,7.03,3.91,10.9,17.1
255,Sacramento State,32,7,25,0.219,-14.1,-4.06,,3,15,,5,11,,2,13,,66.2,70.5,,40,23.3,54.4,0.428,8.19,24.9,0.328,11.4,16.9,0.675,9.44,33.4,13.1,5.94,3.03,13.2,18.5
256,Sacred Heart,33,15,18,0.455,-9,-8.41,,10,10,,8,5,,5,11,,75.8,75.2,,40.2,27.1,61.9,0.438,9.64,27.6,0.349,11.9,16.2,0.731,11.8,37.1,16.6,7.36,2.97,12.3,15.8
